id	review		
2667	young hanks and fisk , who vaguely resemble their celebrity parents , bring fresh good looks and an ease in front of the camera to the work . 		
2668	a captivatingly quirky hybrid of character portrait , romantic comedy and beat-the-clock thriller . 		
2669	the film sparkles with the the wisdom and humor of its subjects . 		
2670	if [jaglom's] latest effort is not the director at his most sparkling , some of its repartee is still worth hearing . 		
2671	"like the english patient and the unbearable lightness of being , the hours is one of those reputedly "" unfilmable "" novels that has bucked the odds to emerge as an exquisite motion picture in its own right . "		
2672	just about the best straight-up , old-school horror film of the last 15 years . 		
2673	a chilling tale of one of the great crimes of 20th century france : the murder of two rich women by their servants in 1933 . 		
2674	an oddity , to be sure , but one that you might wind up remembering with a degree of affection rather than revulsion . 		
2675	while the film is not entirely successful , it still manages to string together enough charming moments to work . 		
2676	a winning piece of work filled with love for the movies of the 1960s . 		
2677	e . t . works because its flabbergasting principals , 14-year-old robert macnaughton , 6-year-old drew barrymore and 10-year-old henry thomas , convince us of the existence of the wise , wizened visitor from a faraway planet . 		
2678	helps to remind the first world that hiv/aids is far from being yesterday's news . 		
2679	a heartening tale of small victories and enduring hope . 		
2680	the vistas are sweeping and the acting is far from painful . 		
2681	jackson and co have brought back the value and respect for the term epic cinema . 		
2682	it may be a somewhat backhanded compliment to say that the film makes the viewer feel like the movie's various victimized audience members after a while , but it also happens to be the movie's most admirable quality		
2683	charlotte sometimes is a brilliant movie . it is about irrational , unexplainable life and it seems so real because it does not attempt to filter out the complexity . 		
2684	a delightful stimulus for the optic nerves , so much that it's forgivable that the plot feels like every other tale of a totalitarian tomorrow . 		
2685	defies logic , the laws of physics and almost anyone's willingness to believe in it . but darned if it doesn't also keep us riveted to our seats . 		
2686	a complex psychological drama about a father who returns to his son's home after decades away . 		
2687	writer and director otar iosseliani's pleasant tale about a factory worker who escapes for a holiday in venice reveals how we all need a playful respite from the grind to refresh our souls . 		
2688	"this is not a retread of "" dead poets' society . "" "		
2689	sweet and memorable film . 		
2690	a smart , arch and rather cold-blooded comedy . 		
2691	keenly observed and refreshingly natural , swimming gets the details right , from its promenade of barely clad bodies in myrtle beach , s . c . , to the adrenaline jolt of a sudden lunch rush at the diner . 		
2692	highly watchable stuff . 		
2693	 . . . begins on a high note and sustains it beautifully . 		
2694	davis . . . gets vivid performances from her cast and pulls off some deft ally mcbeal-style fantasy sequences . 		
2695	'it's better to go in knowing full well what's going to happen , but willing to let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists . cynics need not apply . '		
2696	funny , somber , absurd , and , finally , achingly sad , bartleby is a fine , understated piece of filmmaking . 		
2697	" "" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see . "		
2698	succeeds only because bullock and grant were made to share the silver screen . 		
2699	both flawed and delayed , martin scorcese's gangs of new york still emerges as his most vital work since goodfellas . 		
2700	as any creature-feature fan knows , when you cross toxic chemicals with a bunch of exotic creatures , you get a lot of running around , screaming and death . on that score , the film certainly doesn't disappoint . 		
2701	as the movie traces mr . brown's athletic exploits , it is impossible not to be awed by the power and grace of one of the greatest natural sportsmen of modern times . 		
2702	a moving and solidly entertaining comedy/drama that should bolster director and co-writer juan jos� campanella's reputation in the united states . 		
2703	thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods . 		
2704	beautifully shot , delicately scored and powered by a set of heartfelt performances , it's a lyrical endeavour . 		
2705	a macabre and very stylized swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters . 		
2706	a stylistic romp that's always fun to watch . 		
2707	informative , intriguing , observant , often touching . . . gives a human face to what's often discussed in purely abstract terms . 		
2708	 . . . once the true impact of the day unfolds , the power of this movie is undeniable . 		
2709	an honest , sensitive story from a vietnamese point of view . 		
2710	 a buoyant romantic comedy about friendship , love , and the truth that we're all in this together . 		
2711	the film's intimate camera work and searing performances pull us deep into the girls' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that's opened between them . 		
2712	it's the perfect star vehicle for grant , allowing him to finally move away from his usual bumbling , tongue-tied screen persona . 		
2713	gaunt , silver-haired and leonine , [harris] brings a tragic dimension and savage full-bodied wit and cunning to the aging sandeman . 		
2714	a disturbing examination of what appears to be the definition of a 'bad' police shooting . 		
2715	it's been made with an innocent yet fervid conviction that our hollywood has all but lost . 		
2716	not only a reminder of how they used to make movies , but also how they sometimes still can be made . 		
2717	a three-hour cinema master class . 		
2718	eyre is on his way to becoming the american indian spike lee . 		
2719	psychologically revealing . 		
2720	a witty , whimsical feature debut . 		
2721	warm in its loving yet unforgivingly inconsistent depiction of everyday people , relaxed in its perfect quiet pace and proud in its message . i loved this film . 		
2722	it provides a grim , upsetting glimpse at the lives of some of the 1 . 2 million palestinians who live in the crowded cities and refugee camps of gaza . 		
2723	clint eastwood's blood work is a lot like a well-made pb& j sandwich : familiar , fairly uneventful and boasting no real surprises ? but still quite tasty and inviting all the same . 		
2724	a movie that will surely be profane , politically charged music to the ears of cho's fans . 		
2725	much of this slick and sprightly cgi feature is sufficiently funny to amuse even the most resolutely unreligious parents who escort their little ones to megaplex screenings . 		
2726	rarely , a movie is more than a movie . go . 		
2727	jacquot's strategy allows his cast the benefit of being able to give full performances . . . while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself . 		
2728	quitting delivers a sucker-punch , and its impact is all the greater beause director zhang's last film , the cuddly shower , was a non-threatening multi-character piece centered around a public bath house . 		
2729	by not averting his eyes , solondz forces us to consider the unthinkable , the unacceptable , the unmentionable . 		
2730	one hour photo may seem disappointing in its generalities , but it's the little nuances that perhaps had to escape from director mark romanek's self-conscious scrutiny to happen , that finally get under your skin . 		
2731	while general audiences might not come away with a greater knowledge of the facts of cuban music , they'll be treated to an impressive and highly entertaining celebration of its sounds . 		
2732	a fascinating documentary that provides a rounded and revealing overview of this ancient holistic healing system		
2733	birthday girl lucks out with chaplin and kidman , who are capable of anteing up some movie star charisma when they need it to sell us on this twisted love story , but who can also negotiate the movie's darker turns . 		
2734	an interesting look behind the scenes of chicago-based rock group wilco . . . 		
2735	sharp edges and a deep vein of sadness run through its otherwise comic narrative . 		
2736	there's lots of cool stuff packed into espn's ultimate x . 		
2737	rock solid family fun out of the gates , extremely imaginative through out , but wanes in the middle		
2738	as a film director , labute continues to improve . 		
2739	the ya-ya's have many secrets and one is - the books are better . translating complex characters from novels to the big screen is an impossible task but they are true to the essence of what it is to be ya-ya . 		
2740	the touch is generally light enough and the performances , for the most part , credible . 		
2741	i liked about schmidt a lot , but i have a feeling that i would have liked it much more if harry & tonto never existed . 		
2742	steers has an unexpectedly adamant streak of warm-blooded empathy for all his disparate manhattan denizens--especially the a * * holes . 		
2743	that storytelling has value cannot be denied . not even solondz's thirst for controversy , sketchy characters and immature provocations can fully succeed at cheapening it . 		
2744	once the downward spiral comes to pass , auto focus bears out as your typical junkie opera . . . 		
2745	a knowing sense of humor and a lot of warmth ignite son of the bride . 		
2746	a rich tale of our times , very well told with an appropriate minimum of means . 		
2747	the characters are complex and quirky , but entirely believable as the remarkable ensemble cast brings them to life . 		
2748	in all fairness , i must report that the children of varying ages in my audience never coughed , fidgeted or romped up and down the aisles for bathroom breaks . 		
2749	as gory as the scenes of torture and self-mutilation may be , they are pitted against shimmering cinematography that lends the setting the ethereal beauty of an asian landscape painting . 		
2750	efficient , suitably anonymous chiller . 		
2751	gorgeous scenes , masterful performances , but the sickly sweet gender normative narrative left an acrid test in this gourmet's mouth . 		
2752	the hot topics of the plot are relegated to the background -- a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty . 		
2753	it's usually a bad sign when directors abandon their scripts and go where the moment takes them , but olympia , wash . , based filmmakers anne de marcken and marilyn freeman did just that and it's what makes their project so interesting . 		
2754	a memorable experience that , like many of his works , presents weighty issues colorfully wrapped up in his own idiosyncratic strain of kitschy goodwill . 		
2755	executed with such gentle but insistent sincerity , with such good humor and appreciation of the daily grind that only the most hardhearted scrooge could fail to respond . 		
2756	the gentle comic treatment of adolescent sturm und drang should please fans of chris fuhrman's posthumously published cult novel . 		
2757	director claude chabrol has become the master of innuendo . it is not what you see , it is what you think you see . 		
2758	a deftly entertaining film , smartly played and smartly directed . 		
2759	a documentary to make the stones weep -- as shameful as it is scary . 		
2760	i hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness . 		
2761	 a thought-provoking look at how western foreign policy - however well intentioned - can wreak havoc in other cultures . 		
2762	asks what truth can be discerned from non-firsthand experience , and specifically questions cinema's capability for recording truth . 		
2763	the journey to the secret's eventual discovery is a separate adventure , and thrill enough . 		
2764	a quiet , disquieting triumph . 		
2765	darkly funny and frequently insightful . 		
2766	 . . . the tale of her passionate , tumultuous affair with musset unfolds as sand's masculine persona , with its love of life and beauty , takes form . 		
2767	if you want to see a train wreck that you can't look away from , then look no further , because here it is . 		
2768	there's so much to look at in metropolis you hate to tear your eyes away from the images long enough to read the subtitles . 		
2769	the search for redemption makes for a touching love story , mainly because blanchett and ribisi compellingly tap into a spiritual aspect of their characters' suffering . 		
2770	a fast paced and suspenseful argentinian thriller about the shadow side of play . 		
2771	a film of ideas and wry comic mayhem . 		
2772	at its worst the screenplay is callow , but at its best it is a young artist's thoughtful consideration of fatherhood . 		
2773	a worthwhile documentary , whether you're into rap or not , even if it may still leave you wanting more answers as the credits roll . 		
2774	fessenden's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy . 		
2775	that the film opens with maggots crawling on a dead dog is not an out of place metaphor . 		
2776	stanley kwan has directed not only one of the best gay love stories ever made , but one of the best love stories of any stripe . 		
2777	the concert footage is stirring , the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers . 		
2778	norton holds the film together . 		
2779	[there's] quite a bit of heart , as you would expect from the directors of the little mermaid and aladdin . 		
2780	you won't have any trouble getting kids to eat up these veggies . 		
2781	a creaky staircase gothic . 		
2782	enjoyably dumb , sweet , and intermittently hilarious -- if you've a taste for the quirky , steal a glimpse . 		
