id	review
1	eerily accurate depiction of depression . 
2	 . . . a delicious crime drama on par with the slickest of mamet . 
3	charming and witty , it's also somewhat clumsy . 
4	directed with purpose and finesse by england's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft . 
5	escapes the precious trappings of most romantic comedies , infusing into the story very real , complicated emotions . 
6	this big screen caper has a good bark , far from being a bow-wow . 
7	[allen] manages to breathe life into this somewhat tired premise . 
8	i have two words to say about reign of fire . great dragons ! 
9	by surrounding us with hyper-artificiality , haynes makes us see familiar issues , like racism and homophobia , in a fresh way . 
10	a deliberative account of a lifestyle characterized by its surface-obsession ? one that typifies the delirium of post , pre , and extant stardom . 
11	superb production values & christian bale's charisma make up for a derivative plot . 
12	the film has the courage of its convictions and excellent performances on its side . 
13	i know i shouldn't have laughed , but hey , those farts got to my inner nine-year-old . 
14	a movie that will thrill you , touch you and make you laugh as well . 
15	it's a smart , funny look at an arcane area of popular culture , and if it isn't entirely persuasive , it does give exposure to some talented performers . 
16	more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet . 
17	the case is a convincing one , and should give anyone with a conscience reason to pause . 
18	the actresses find their own rhythm and protect each other from the script's bad ideas and awkwardness . 
19	diverting french comedy in which a husband has to cope with the pesky moods of jealousy . 
20	captivates and shows how a skillful filmmaker can impart a message without bludgeoning the audience over the head . 
21	there is a welcome lack of pretension about the film , which very simply sets out to entertain and ends up delivering in good measure . 
22	coy but exhilarating , with really solid performances by ving rhames and wesley snipes . 
23	it is a likable story , told with competence . 
24	not only does spider-man deliver , but i suspect it might deliver again and again . 
25	tackles the difficult subject of grief and loss with such life-embracing spirit that the theme doesn't drag an audience down . 
26	a small movie with a big impact . 
27	the movie , despite its rough edges and a tendency to sag in certain places , is wry and engrossing . 
28	 i admire the closing scenes of the film , which seem to ask whether our civilization offers a cure for vincent's complaint . 
29	like rudy yellow lodge , eyre needs to take a good sweat to clarify his cinematic vision before his next creation and remember the lessons of the trickster spider . 
30	a delightful romantic comedy with plenty of bite . it's far from a frothy piece , and the characters are complex , laden with plenty of baggage and tinged with tragic undertones . 
31	using an endearing cast , writer/director dover kosashvili takes a slightly dark look at relationships , both sexual and kindred . 
32	when a movie has stuck around for this long , you know there's something there . it's that good . 
33	smart , sassy interpretation of the oscar wilde play . 
34	forget about one oscar nomination for julianne moore this year - she should get all five . 
35	japanese director shohei imamura's latest film is an odd but ultimately satisfying blend of the sophomoric and the sublime . 
36	kwan is a master of shadow , quietude , and room noise , and lan yu is a disarmingly lived-in movie . 
37	while the plot follows a predictable connect-the-dots course . . . director john schultz colors the picture in some evocative shades . 
38	nice piece of work . 
39	katz's documentary doesn't have much panache , but with material this rich it doesn't need it . 
40	we get an image of big papa spanning history , rather than suspending it . 
41	evelyn's strong cast and surehanded direction make for a winning , heartwarming yarn . 
42	'aunque recurre a ciertos clich�s del g�nero , la poderosa actuaci�n de robin williams perdona las fallas del gui�n . '
43	a conventional but heartwarming tale . 
44	a thought-provoking picture . 
45	this is one of the outstanding thrillers of recent years . 
46	skins has a desolate air , but eyre , a native american raised by white parents , manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor . 
47	a film of quiet power . 
48	more concerned with overall feelings , broader ideas , and open-ended questions than concrete story and definitive answers , soderbergh's solaris is a gorgeous and deceptively minimalist cinematic tone poem . 
49	an intelligent romantic thriller of a very old-school kind of quality . 
50	the sword fighting is well done and auteuil is a goofy pleasure . 
51	yes , mibii is rote work and predictable , but with a philosophical visual coming right at the end that extravagantly redeems it . 
52	film can't quite maintain its initial momentum , but remains sporadically funny throughout . 
53	o fantasma is boldly , confidently orchestrated , aesthetically and sexually , and its impact is deeply and rightly disturbing . 
54	it's still adam sandler , and it's not little nicky . and for many of us , that's good enough . 
55	here's yet another cool crime movie that actually manages to bring something new into the mix . 
56	lee's achievement extends to his supple understanding of the role that brown played in american culture as an athlete , a movie star , and an image of black indomitability . 
57	kaufman and jonze take huge risks to ponder the whole notion of passion -- our desire as human beings for passion in our lives and the emptiness one feels when it is missing . 
58	it tends to remind one of a really solid woody allen film , with its excellent use of new york locales and sharp writing
59	while centered on the life experiences of a particular theatrical family , this marvelous documentary touches -- ever so gracefully -- on the entire history of the yiddish theater , both in america and israel . 
60	the film , despite the gratuitous cinematic distractions impressed upon it , is still good fun . 
61	the immersive powers of the giant screen and its hyper-realistic images are put to perfect use in the breathtakingly beautiful outer-space documentary space station 3d . 
62	has an unmistakable , easy joie de vivre . 
63	more than anything else , kissing jessica stein injects freshness and spirit into the romantic comedy genre , which has been held hostage by generic scripts that seek to remake sleepless in seattle again and again . 
64	this movie has the usual impossible stunts . . . but it has just as many scenes that are lean and tough enough to fit in any modern action movie . 
65	mostly works because of the universal themes , earnest performances . . . and excellent use of music by india's popular gulzar and jagjit singh . 
66	 . . . the one thing this wild film has that other imax films don't : chimps , lots of chimps , all blown up to the size of a house . that's fun for kids of any age . 
67	writer/director david caesar ladles on the local flavour with a hugely enjoyable film about changing times , clashing cultures and the pleasures of a well-made pizza . 
68	rarely have i seen a film so willing to champion the fallibility of the human heart . 
69	holofcener rejects patent solutions to dramatize life's messiness from inside out , in all its strange quirks . 
70	like the full monty , this is sure to raise audience's spirits and leave them singing long after the credits roll . 
71	 . . . a gleefully grungy , hilariously wicked black comedy . . . 
72	kinnear and dafoe give what may be the performances of their careers . 
73	all in all , a great party . 
74	a moving story of determination and the human spirit . 
75	" "" brown sugar "" admirably aspires to be more than another "" best man "" clone by weaving a theme throughout this funny film . "
76	[gulpilil] is a commanding screen presence , and his character's abundant humanism makes him the film's moral compass . 
77	a stylish thriller . 
78	an effortlessly accomplished and richly resonant work . 
79	in some ways , lagaan is quintessential bollywood . except it's much , much better . 
80	though it never rises to its full potential as a film , still offers a great deal of insight into the female condition and the timeless danger of emotions repressed . 
81	scotland looks wonderful , the fans are often funny fanatics , the showdown sure beats a bad day of golf . 
82	what enlivens this film , beyond the astute direction of cardoso and beautifully detailed performances by all of the actors , is a note of defiance over social dictates . 
83	the emotion is impressively true for being so hot-blooded , and both leads are up to the task . 
